Date,Class,Month,Price_USD_per_Bushel
2009-06-01,All wheat,Jun,5.72
2009-07-01,All wheat,Jul,5.17
2009-08-01,All wheat,Aug,4.85
2009-09-01,All wheat,Sep,4.48
2009-10-01,All wheat,Oct,4.47
2009-11-01,All wheat,Nov,4.79
2009-12-01,All wheat,Dec,4.87
2010-01-01,All wheat,Jan,4.9
2010-02-01,All wheat,Feb,4.73
2010-03-01,All wheat,Mar,4.7
2010-04-01,All wheat,Apr,4.41
2010-05-01,All wheat,May,4.34
2010-06-01,All wheat,Jun,4.16
2010-07-01,All wheat,Jul,4.49
2010-08-01,All wheat,Aug,5.44
2010-09-01,All wheat,Sep,5.79
2010-10-01,All wheat,Oct,5.88
2010-11-01,All wheat,Nov,6.1
2010-12-01,All wheat,Dec,6.44
2011-01-01,All wheat,Jan,6.69
2011-02-01,All wheat,Feb,7.42
2011-03-01,All wheat,Mar,7.55
2011-04-01,All wheat,Apr,8.01
2011-05-01,All wheat,May,8.16
2011-06-01,All wheat,Jun,7.41
2011-07-01,All wheat,Jul,7.1
2011-08-01,All wheat,Aug,7.59
2011-09-01,All wheat,Sep,7.54
2011-10-01,All wheat,Oct,7.27
2011-11-01,All wheat,Nov,7.3
2011-12-01,All wheat,Dec,7.2
2012-01-01,All wheat,Jan,7.05
2012-02-01,All wheat,Feb,7.1
2012-03-01,All wheat,Mar,7.2
2012-04-01,All wheat,Apr,7.11
2012-05-01,All wheat,May,6.67
2012-06-01,All wheat,Jun,6.7
2012-07-01,All wheat,Jul,7.89
2012-08-01,All wheat,Aug,8.04
2012-09-01,All wheat,Sep,8.27
2012-10-01,All wheat,Oct,8.38
2012-11-01,All wheat,Nov,8.47
2012-12-01,All wheat,Dec,8.3
2013-01-01,All wheat,Jan,8.12
2013-02-01,All wheat,Feb,7.97
2013-03-01,All wheat,Mar,7.79
2013-04-01,All wheat,Apr,7.71
2013-05-01,All wheat,May,7.68
2013-06-01,All wheat,Jun,7.37
2013-07-01,All wheat,Jul,6.95
2013-08-01,All wheat,Aug,6.88
2013-09-01,All wheat,Sep,6.8
2013-10-01,All wheat,Oct,6.94
2013-11-01,All wheat,Nov,6.85
2013-12-01,All wheat,Dec,6.73
2014-01-01,All wheat,Jan,6.65
2014-02-01,All wheat,Feb,6.5
2014-03-01,All wheat,Mar,6.74
2014-04-01,All wheat,Apr,6.82
2014-05-01,All wheat,May,7.08
2014-06-01,All wheat,Jun,6.49
2014-07-01,All wheat,Jul,6.15
2014-08-01,All wheat,Aug,5.97
2014-09-01,All wheat,Sep,5.71
2014-10-01,All wheat,Oct,5.71
2014-11-01,All wheat,Nov,6.04
2014-12-01,All wheat,Dec,6.14
2015-01-01,All wheat,Jan,6.15
2015-02-01,All wheat,Feb,5.89
2015-03-01,All wheat,Mar,5.7
2015-04-01,All wheat,Apr,5.56
2015-05-01,All wheat,May,5.33
2015-06-01,All wheat,Jun,5.42
2015-07-01,All wheat,Jul,5.23
2015-08-01,All wheat,Aug,4.84
2015-09-01,All wheat,Sep,4.72
2015-10-01,All wheat,Oct,4.86
2015-11-01,All wheat,Nov,4.86
2015-12-01,All wheat,Dec,4.75
2016-01-01,All wheat,Jan,4.82
2016-02-01,All wheat,Feb,4.61
2016-03-01,All wheat,Mar,4.4
2016-04-01,All wheat,Apr,4.46
2016-05-01,All wheat,May,4.45
2016-06-01,All wheat,Jun,4.2
2016-07-01,All wheat,Jul,3.75
2016-08-01,All wheat,Aug,3.68
2016-09-01,All wheat,Sep,3.48
2016-10-01,All wheat,Oct,3.68
2016-11-01,All wheat,Nov,3.88
2016-12-01,All wheat,Dec,3.9
2017-01-01,All wheat,Jan,4.01
2017-02-01,All wheat,Feb,4.16
2017-03-01,All wheat,Mar,4.37
2017-04-01,All wheat,Apr,4.16
2017-05-01,All wheat,May,4.05
2017-06-01,All wheat,Jun,4.37
2017-07-01,All wheat,Jul,4.77
2017-08-01,All wheat,Aug,4.84
2017-09-01,All wheat,Sep,4.65
2017-10-01,All wheat,Oct,4.64
2017-11-01,All wheat,Nov,4.72
2017-12-01,All wheat,Dec,4.5
2018-01-01,All wheat,Jan,4.65
2018-02-01,All wheat,Feb,4.92
2018-03-01,All wheat,Mar,5.1
2018-04-01,All wheat,Apr,5.28
2018-05-01,All wheat,May,5.39
2018-06-01,All wheat,Jun,5.19
2018-07-01,All wheat,Jul,5.0
2018-08-01,All wheat,Aug,5.31
2018-09-01,All wheat,Sep,5.15
2018-10-01,All wheat,Oct,5.22
2018-11-01,All wheat,Nov,5.23
2018-12-01,All wheat,Dec,5.28
2019-01-01,All wheat,Jan,5.28
2019-02-01,All wheat,Feb,5.33
2019-03-01,All wheat,Mar,5.19
2019-04-01,All wheat,Apr,4.93
2019-05-01,All wheat,May,4.78
2019-06-01,All wheat,Jun,4.81
2019-07-01,All wheat,Jul,4.52
2019-08-01,All wheat,Aug,4.34
2019-09-01,All wheat,Sep,4.26
2019-10-01,All wheat,Oct,4.45
2019-11-01,All wheat,Nov,4.39
2019-12-01,All wheat,Dec,4.64
2020-01-01,All wheat,Jan,4.88
2020-02-01,All wheat,Feb,4.88
2020-03-01,All wheat,Mar,4.86
2020-04-01,All wheat,Apr,4.85
2020-05-01,All wheat,May,4.76
2020-06-01,All wheat,Jun,4.57
2020-07-01,All wheat,Jul,4.54
2020-08-01,All wheat,Aug,4.54
2020-09-01,All wheat,Sep,4.73
2020-10-01,All wheat,Oct,4.98
2020-11-01,All wheat,Nov,5.24
2020-12-01,All wheat,Dec,5.46
2021-01-01,All wheat,Jan,5.48
2021-02-01,All wheat,Feb,5.83
2021-03-01,All wheat,Mar,5.86
2021-04-01,All wheat,Apr,6.04
2021-05-01,All wheat,May,6.46
2021-06-01,All wheat,Jun,6.23
2021-07-01,All wheat,Jul,6.26
2021-08-01,All wheat,Aug,7.14
2021-09-01,All wheat,Sep,7.75
2021-10-01,All wheat,Oct,7.92
2021-11-01,All wheat,Nov,8.52
2021-12-01,All wheat,Dec,8.59
2022-01-01,All wheat,Jan,8.48
2022-02-01,All wheat,Feb,9.16
2022-03-01,All wheat,Mar,9.93
2022-04-01,All wheat,Apr,10.2
2022-05-01,All wheat,May,10.9
2022-06-01,All wheat,Jun,9.61
2022-07-01,All wheat,Jul,8.69
2022-08-01,All wheat,Aug,8.55
2022-09-01,All wheat,Sep,8.78
2022-10-01,All wheat,Oct,9.18
2022-11-01,All wheat,Nov,9.15
2022-12-01,All wheat,Dec,8.97
2023-01-01,All wheat,Jan,8.81
2023-02-01,All wheat,Feb,8.54
2023-03-01,All wheat,Mar,8.35
2023-04-01,All wheat,Apr,8.31
2023-05-01,All wheat,May,8.07
2023-06-01,All wheat,Jun,7.67
2023-07-01,All wheat,Jul,7.61
2023-08-01,All wheat,Aug,7.34
2023-09-01,All wheat,Sep,7.06
2023-10-01,All wheat,Oct,6.96
2023-11-01,All wheat,Nov,6.52
2023-12-01,All wheat,Dec,6.79
2024-01-01,All wheat,Jan,6.77
2024-02-01,All wheat,Feb,6.34
2024-03-01,All wheat,Mar,6.01
2024-04-01,All wheat,Apr,5.9
2024-05-01,All wheat,May,6.19
2024-06-01,All wheat,Jun,5.86
2024-07-01,All wheat,Jul,5.52
2024-08-01,All wheat,Aug,5.23
2024-09-01,All wheat,Sep,5.36
2024-10-01,All wheat,Oct,5.47
2024-11-01,All wheat,Nov,5.45
2024-12-01,All wheat,Dec,5.49
2025-01-01,All wheat,Jan,5.52
2025-02-01,All wheat,Feb,5.59
